zip,med_income,bought_car,child_exp,polit_dem,polit_rep,disp_inc,bach_deg,rel_club,bar_club,food_exp,health_ins,male_pop,fem_pop,married
70650,56440,47,22,72,111,58469,41,7,41,1248239,591930,213,222,184
71219,48240,164,107,285,263,58529,86,31,102,4446298,2225656,648,663,594
70558,77517,18,10,23,39,72759,19,5,16,644597,288208,72,73,51
70788,36497,477,266,1461,575,44446,346,176,301,9533757,4603690,2135,2321,1364
70401,41144,2319,1405,4918,4325,49473,2044,522,3158,58721069,24734378,10670,11648,6994
70774,55561,1205,641,1832,2916,60135,824,253,1131,32712341,15222794,5576,5578,4933
71043,37088,86,48,131,111,47495,60,23,31,1678954,829624,306,285,290
70737,60560,4788,3034,7875,10722,62421,4978,1239,5348,135129643,60438502,22415,23036,18638
71264,35731,127,86,203,243,44213,110,27,82,2575174,1294288,522,530,418
70584,40417,997,529,1514,1794,50134,677,200,671,21771480,10473321,3975,4244,3335
70123,60144,3043,2073,6985,6098,65408,4662,753,4620,104729113,46022062,12867,13997,10521
70647,52405,1046,564,1775,2319,55384,746,193,1030,26170083,12191245,4967,5112,4047
70452,43710,1608,814,2440,3760,50148,905,274,1457,34575693,16403664,7034,7150,5893
71259,37995,178,123,204,455,46410,166,44,117,4113369,2082546,840,867,848
70391,43474,26,17,32,59,52122,20,7,15,660624,333254,109,118,109
70071,54744,301,213,1032,604,63971,263,136,386,11030581,5273633,1710,1809,1310
71466,39224,73,35,111,172,46697,14,11,63,1470401,697282,336,329,276
70001,47853,4319,2571,10133,7811,56384,6036,1146,5612,133033563,56608798,18690,19742,13482
71103,19066,437,311,3716,344,26025,368,272,705,9461619,4166231,3632,4171,1330
70740,51592,180,77,248,383,53709,67,25,140,4209252,1996077,735,712,589
70782,38867,42,24,66,56,43959,21,11,16,747633,369429,146,159,90
70374,54008,855,521,1370,1644,56069,430,218,724,20663313,10040517,3660,3604,3005
71303,53949,2227,1448,5419,4781,60558,2533,613,3043,70246845,31091855,10739,11761,8014
70662,51655,52,23,72,111,52888,16,7,41,1172425,555978,216,222,244
70131,51348,2903,1962,9465,4455,60076,4223,1064,3851,96244675,40929437,14503,16115,10321
70637,47888,78,36,117,180,50962,51,12,66,1747262,828573,363,358,244
70789,32081,67,34,347,49,40542,53,33,66,1403625,660360,350,371,259
71024,44526,185,120,341,266,48916,49,38,106,3836263,1911015,705,723,489
70438,33397,2118,1247,4115,3942,41346,1288,477,1485,40707867,19730441,9465,9751,7898
70814,50641,1521,1054,3693,2551,51786,1541,418,1996,35833765,15065835,7281,7991,4691
71368,30509,201,114,318,259,38071,99,46,87,3072614,1523992,705,745,575
70041,40348,303,142,537,508,44878,80,62,235,5856270,2618649,1424,1298,998
70607,39450,2901,1515,5903,5247,46791,2487,706,3120,67786788,29227897,13497,14423,9575
70525,37106,1582,932,2895,2563,42117,584,319,1057,28704033,13898849,6742,7016,5595
70094,39360,3033,2016,8118,5044,43991,1879,974,3362,65659949,29769894,15495,16579,9889
71108,28749,1304,905,7680,1261,32792,914,611,1859,29104069,12784328,8903,10902,4317
71044,29838,101,52,142,120,43557,50,25,34,1796843,887877,336,323,297
71411,33662,391,241,685,533,41952,131,75,214,6856827,3416767,1423,1525,970
70516,52711,181,101,293,420,54812,193,36,162,4396935,2077405,893,830,849
71455,37467,33,19,43,57,39618,16,8,15,577421,288408,123,123,83
70397,38489,153,107,299,240,47174,55,40,86,3089701,1535075,667,675,638
70117,24790,1995,1388,12314,2007,33389,3018,877,3225,50432242,21900327,13675,14187,5591
70532,43465,355,235,674,514,48852,154,64,222,7521208,3755973,1504,1267,889
71065,34156,166,105,301,230,54505,107,29,99,4151570,2072927,629,623,454
70769,87878,4560,3487,7806,11308,78111,7359,1242,6550,152364342,67196390,21986,22233,20085
70518,64576,1669,994,2623,3582,69852,1932,407,1727,53702680,24157507,7406,7525,6104
71247,35194,149,76,269,246,38850,74,36,132,2509160,1232177,566,603,563
70732,44698,159,76,241,366,49355,70,24,137,3365939,1596691,664,694,576
70442,45040,35,15,49,76,53026,4,5,28,839256,397985,154,144,120
70816,51578,4896,2846,10680,8222,56741,7825,1215,6387,140416078,57581708,20801,22700,14486
71279,36917,8,4,11,8,45286,4,1,4,136945,68388,22,23,19
70785,58679,2533,1446,4035,5876,57593,2140,680,2490,65601189,29394582,12016,12142,9776
70039,45980,261,150,657,529,53483,202,94,270,6664760,3035340,1323,1483,909
70591,36537,641,426,1053,1197,44282,311,144,459,12236368,6060692,2715,2815,2098
70645,48204,160,115,190,424,63912,77,41,109,5330010,2698516,792,694,892
70114,33823,1946,1198,9378,1785,40794,1915,779,2633,50398329,21533083,11118,12898,5685
70501,29338,2320,1657,12998,3115,37350,2415,998,3299,59988256,26621309,16136,17140,7444
71250,32935,27,15,36,39,39335,13,6,11,448558,223489,91,93,84
71452,32438,10,5,13,11,36706,6,2,3,146723,72500,29,33,23
70030,53605,535,355,794,1261,55124,199,147,524,13024820,6204223,2557,2454,2154
70640,52068,36,24,69,53,51947,10,7,23,804056,401533,153,136,124
70353,35645,159,106,296,237,38654,34,39,85,2512535,1247854,723,696,501
70047,77813,1451,1002,2855,2960,74215,2154,385,2038,44585757,19922896,6616,6799,5814
71350,31331,441,285,1078,775,39197,235,117,438,8553313,4143353,2087,2131,1653
71407,50090,108,51,164,254,45959,36,17,93,2062092,977869,508,495,596
71465,37692,403,258,736,569,43959,172,71,244,7410357,3701352,1558,1590,1534
70363,41317,2488,1696,6665,4158,46843,987,687,2548,54273169,25022273,13690,13102,9547
70733,52659,209,95,305,471,64099,85,31,172,6070301,2878609,897,892,731
71034,48929,37,25,72,55,52900,15,7,24,826284,412633,146,146,141
70807,23761,859,859,10017,645,30197,1011,694,1794,21891960,9736348,9951,9887,3429
71237,35438,157,143,400,327,40092,71,42,133,2697301,1347260,941,654,561
71362,40887,247,139,342,599,50451,96,47,192,5797191,2828154,1152,1185,949
71129,41719,1478,805,3074,2581,47395,1586,392,1699,35485150,14631921,6307,7069,4154
70783,52251,316,174,519,664,60047,257,62,319,9200365,4480068,1362,1382,811
71110,40124,296,155,583,526,47258,253,66,612,4739530,1639491,1902,1299,1037
71316,35000,6,3,5,11,42433,4,1,3,126037,63811,21,19,21
71079,23870,34,25,72,55,31774,11,7,24,437677,218569,134,150,102
71427,37670,56,34,82,92,39851,32,15,25,969899,482475,217,218,134
71234,51089,502,268,666,1151,56727,419,92,393,12989610,6308721,2094,2132,2156
70729,55520,120,71,183,304,54837,56,32,122,2933555,1337528,565,576,492
70575,60495,8,4,13,10,75225,5,1,4,285283,142466,27,27,24
70075,59994,515,406,990,1089,58445,422,146,616,12975512,5580731,2656,2619,1885
70031,53319,160,106,193,402,55830,154,65,228,3994924,1927290,715,732,504
70819,52715,499,376,1157,696,52702,511,118,580,11930780,5166608,2407,2604,1639
71073,36795,300,152,452,552,41200,201,59,190,5126893,2475092,1197,1187,859
71253,32604,35,20,57,44,36973,6,5,19,515466,257416,116,131,102
70372,41318,299,145,448,628,50183,172,52,223,6267989,2994601,1229,1267,1122
70049,34064,241,156,953,276,39383,291,103,180,4775877,2284130,1177,1420,758
70050,43708,10,5,15,14,49289,0,2,4,210236,102988,40,35,31
70051,35527,219,122,680,441,40840,100,54,225,4652212,2176806,1188,1322,894
70037,61828,1685,1078,3113,3631,63398,1511,369,2300,46161599,20047100,8087,8162,7299
70038,50175,52,27,93,76,49188,19,13,33,1099743,500079,249,203,184
70002,57232,2032,1240,5274,4086,69848,3265,607,2764,83754283,35659009,9650,9629,7615
71021,20483,71,43,277,65,27324,41,25,52,1175069,553788,344,394,282
70359,46450,908,480,1634,1791,50547,610,226,835,20465339,9014325,4466,4585,3370
70524,28415,37,17,54,84,38753,13,5,31,590357,279954,156,169,141
70611,66443,2167,1355,3132,5514,67265,2301,582,2448,64654906,29875102,9928,10394,9953
70555,59036,919,597,1436,2346,63687,642,288,985,27536093,12404687,4428,4437,3532
71378,31388,341,207,580,467,40430,114,79,164,5641251,2801164,1196,1404,850
71256,36046,83,52,144,118,39576,32,22,39,1312432,650326,305,349,258
71109,23635,1396,917,9790,1086,31578,953,739,1908,33279246,14759398,9850,11577,4405
71425,42775,30,19,54,41,51021,18,5,18,679504,339334,111,108,132
70128,44238,1788,1218,5285,3295,47856,1871,585,2356,40574876,17753560,8963,10394,5343
71202,25397,1630,1139,12292,1754,31077,1045,935,2481,36335183,15972783,14576,14798,5059
70646,56489,86,56,103,214,58661,73,24,110,2090766,978991,378,373,292
71071,42545,337,218,568,565,46072,274,80,265,6468550,3200766,1330,1369,1272
71072,48996,177,118,261,355,52552,148,38,112,4288751,2158045,755,755,707
70756,43215,53,24,77,119,48052,11,8,43,1105129,524065,213,225,226
70654,46478,21,9,28,44,51164,17,3,16,468632,222231,90,86,56
70820,25559,1845,1208,4921,3936,41257,2320,573,5381,50232526,17191467,10776,9688,4024
70749,55283,203,129,278,476,68461,139,50,186,7292146,3738254,831,833,681
71461,40605,259,158,432,562,46137,223,68,287,5575976,2449339,1170,1281,987
70752,51628,105,51,150,241,51951,53,18,93,2403033,1141934,466,426,354
70744,50584,754,368,1166,1732,52853,485,117,637,17540427,8341039,3473,3379,2682
70747,39912,18,13,28,41,43296,10,5,11,353695,177336,89,93,63
71325,38459,177,99,283,274,43859,105,39,93,3221141,1579340,698,686,487
70734,72800,900,776,1508,1829,69118,1139,242,1122,25224956,10733823,4262,4444,3910
70802,22633,1912,1377,11740,2332,30127,2193,869,4087,44835657,18464868,13727,13994,4708
71225,53986,845,470,1248,2093,61281,655,183,855,23158960,10829339,3818,4021,3831
70581,45063,102,75,141,282,51818,61,31,144,2144333,1006997,484,480,524
71023,44059,410,239,637,840,47159,140,81,382,9202589,4455087,1755,1793,1478
70433,64053,4084,2756,8953,9028,70829,7049,1285,5398,136438246,62366874,19552,19906,16646
70592,75786,2681,1869,4263,6155,71281,4034,735,3251,84251254,37093199,12409,12696,9927
71480,40493,87,121,346,264,43816,54,33,114,1620257,809131,863,432,411
71459,43510,1240,549,2066,1866,43106,1044,235,2171,17881342,6185485,6701,5135,5451
70815,48853,2858,2081,7406,5906,54032,3728,873,4052,77122134,33530345,14581,15770,9822
70817,86684,3926,2686,7175,8462,80537,7340,1074,5475,136987751,60891069,16382,17394,15549
70818,62655,1115,817,2045,2574,63965,1092,292,1586,31051118,14253201,4987,5178,4768
70583,42172,1406,799,2598,2415,49402,1099,283,1327,32201281,14678934,6251,6570,4604
71322,30925,666,450,1547,1228,39509,481,176,616,12671522,6116072,3259,3343,2282
70112,35116,338,264,2028,515,54584,737,124,921,18221215,6870230,2496,2362,684
70811,43690,1188,700,5717,1350,45941,1109,542,1435,28804234,13303836,6531,7641,4175
70755,56526,269,144,407,643,56860,146,50,266,6522873,3088745,1162,1238,1045
70763,66301,427,322,674,1064,69174,340,130,648,12784216,5804027,2046,2082,1931
70552,50485,212,125,375,416,61140,56,37,163,5985091,2910313,931,930,736
70757,37090,409,232,671,750,42606,189,97,245,7216416,3503724,1660,1762,1292
71474,45793,76,35,105,168,50704,45,12,59,1701464,812891,316,323,308
70531,41167,174,122,349,266,45146,66,33,115,3317997,1656955,725,704,650
70759,38396,159,109,409,271,44424,87,40,206,3713408,1763697,817,809,597
70760,31838,596,389,2731,731,43773,604,211,663,17066125,7958498,3426,3856,1986
71462,34497,194,125,358,274,50845,94,34,118,4359316,2177174,788,722,632
70533,43595,862,456,1404,1817,48898,536,140,687,18416126,8848628,3726,3927,2815
70534,50000,113,81,232,177,50658,60,22,76,2395343,1196196,499,476,371
70753,37833,111,62,170,144,38507,5,29,40,1665306,822881,397,407,288
70761,32222,101,55,316,107,40511,84,38,60,1849798,890621,435,453,333
70762,62787,129,85,173,324,66233,93,35,165,3689873,1773032,528,520,577
70652,45457,266,125,399,617,54817,165,40,225,6551652,3106872,1259,1198,1266
70710,52228,547,301,809,1328,52774,534,131,523,12524483,5741926,2499,2565,1830
70711,50756,646,312,999,1544,55107,478,100,563,15788356,7487027,3082,3015,2426
70776,56800,393,248,552,826,60497,573,108,366,10118049,4840048,4155,2721,1798
70669,47360,1278,679,2042,2448,54215,581,317,1141,31267207,15018897,5345,5482,4367
70777,53601,487,252,748,1144,55694,336,86,432,11891751,5653658,2199,2254,1880
71075,35929,668,425,1877,1084,42607,488,181,662,15024321,7219938,3122,3370,2204
70808,61364,3486,2396,9495,7403,72710,7195,1014,7566,152377047,62210037,16943,17633,12339
70665,60718,1327,800,1841,3333,63324,1311,344,1514,36917204,17293481,6150,6287,5890
70809,63885,3188,1910,7126,5179,70948,6306,709,4720,119535232,49935439,12437,14091,10149
70556,49385,44,29,83,63,47532,26,8,27,906241,452563,177,168,135
70767,48510,1563,1004,4357,3085,50794,1359,515,1582,40597507,18721931,8105,8279,6171
70651,45568,58,28,90,139,51984,18,9,51,1328739,630104,285,276,211
71003,33446,142,76,208,176,47314,107,36,49,2702576,1335429,494,497,359
71004,44264,92,62,177,135,52127,109,17,58,2044609,1021046,366,332,325
70576,54450,107,137,394,301,52215,9,38,130,2390897,1193976,956,623,591
70806,36429,2737,1615,8847,4763,48578,4364,828,4097,85853479,35764493,13543,15533,7666
70770,67951,355,240,495,959,68664,384,100,465,10656505,5017755,1589,1607,1458
70772,53278,103,46,146,216,58653,67,16,78,2656499,1264078,404,433,319
70778,49743,326,172,499,708,57473,230,68,318,8209250,3775945,1463,1465,1238
71016,36181,253,144,431,452,40930,113,42,179,4388994,2144769,1059,1056,867
70080,48196,191,93,296,444,46628,150,31,164,3803295,1796707,910,887,706
70087,45396,771,484,2428,1221,48701,642,218,1048,17389002,7720072,4018,4283,2668
70084,42140,897,578,1637,1389,44746,487,260,529,16647775,8112369,3922,3897,2507
70062,34912,1495,1059,4902,2187,40740,972,467,2049,32606154,14152031,8306,8913,5104
70090,55225,862,556,1351,1877,59572,637,275,859,21816676,10522811,3804,3956,3172
71038,26424,462,284,884,729,38341,249,90,343,8538758,4124052,1854,2081,1448
71045,32721,86,53,135,137,39167,41,21,42,1416848,705726,332,323,315
70076,49119,31,15,50,77,47531,11,5,28,619774,293904,142,150,127
70057,51943,501,360,867,1304,55685,347,149,552,11827650,5616317,2727,2365,1687
71048,36907,15,9,27,20,44377,8,3,9,274267,136965,50,55,40
71061,32441,262,142,389,328,49436,83,66,95,5174364,2558119,914,921,752
70615,38187,1118,607,4436,1669,44816,646,390,1214,26754277,12278217,7647,6746,4415
70638,41275,117,77,222,177,45872,53,21,76,2232372,1111124,486,500,448
70658,45025,122,54,172,266,51963,35,17,97,2807775,1331480,544,527,403
